wt_1,lak_1,wt_2,lak_2,wt_3,lak_3
Dr.20181.1.S1_at,10.86568325,11.42161483,11.01660168,11.31328657,10.66401566,11.05636596
Dr.11832.1.S1_at,8.862195868,8.155027214,8.467659844,7.99139419,8.300082331,7.939122334
Dr.18637.1.A1_at,9.012231635,8.655084211,8.937321354,8.75639043,8.901096012,8.699280988
Dr.17275.1.A1_at,8.777076592,9.046214918,9.062496904,9.447019978,8.984135978,9.381542172
Dr.11567.1.S1_at,7.094735152,7.959259911,5.662239649,7.070981068,6.365023941,7.393408907
Dr.1149.1.A1_a_at,12.41756358,13.22633223,12.98548261,13.46428883,12.12820278,13.20679593
Dr.17354.1.S1_at,10.0749812,8.878424518,9.900028463,9.149945705,9.128676506,8.43132189
Dr.7744.1.S1_at,4.737827572,5.411171716,4.061674327,4.811959511,4.560905762,5.768187668
Dr.22232.1.A1_at,7.599508057,7.952757499,7.790020703,7.94570778,7.690125316,8.060868433
Dr.6354.2.A1_x_at,5.188787028,5.887085953,5.558920905,5.817212833,5.208043184,5.864401412
Dr.19893.1.S1_at,8.077836508,8.592347336,8.338356268,9.031899999,7.817735285,9.020461135
Dr.2764.1.S1_at,8.377162672,8.127184919,8.524700241,7.978917257,8.789148926,8.263958685
Dr.25858.1.A1_at,10.69972306,10.01353451,10.74292362,10.41323801,10.41989544,9.934027811
Dr.18370.1.A1_at,10.6706107,9.934699603,10.22712374,9.785786226,10.18131614,9.829819271
Dr.7451.1.A1_at,9.354568678,9.786632754,9.526632164,9.766597788,9.145806607,9.521658496
Dr.12134.1.A1_x_at,3.330618969,3.541922345,3.17988262,3.484708228,3.453789378,3.671558666
Dr.17564.1.A1_at,10.16878525,10.3512082,10.11423057,10.3117859,10.29217557,10.47160558
Dr.13582.1.A1_at,9.484751584,9.066677489,9.650980101,8.934673328,9.059884881,8.561367545
Dr.23594.1.A1_at,7.831916591,8.157460653,8.188293062,8.447083018,7.923377807,8.375857739
Dr.3746.1.A1_x_at,6.058131351,5.607550044,6.544033629,5.999285588,5.956730386,5.345129953
Dr.11136.1.S1_at,10.1210646,9.919186232,10.44835353,10.13498118,10.29867525,9.979824487
Dr.18401.1.S1_x_at,5.552529395,7.07892173,6.490513948,7.276869157,5.361586919,6.356654501
Dr.14931.1.S1_at,8.350169798,8.136680335,8.460379276,7.877894915,8.592451278,8.106963983
Dr.3981.1.A1_at,9.131383165,9.376832047,8.989450786,9.416898792,8.973853167,9.636287733
Dr.23861.1.A1_at,7.727907285,8.76569263,8.305878353,8.978151258,8.530513931,9.899445315
Dr.5450.1.S1_at,10.51211358,10.81516513,10.5445369,11.00893828,10.84992226,11.35085105
Dr.25285.1.S1_at,6.907722374,6.562534137,7.01446255,6.684951158,6.884194831,6.741782327
Dr.17521.1.A1_at,4.120143177,4.476403313,3.981906757,4.20860004,3.797991224,4.155373315
Dr.3085.2.S1_at,4.850088207,5.271963215,4.199058492,4.926960548,4.564146305,5.53224257
Dr.4551.1.A1_at,11.84434231,12.08991652,12.07954952,12.43386029,11.8277102,12.34865374
Dr.25705.1.S1_at,4.728031955,6.550946194,4.526857466,5.456572352,4.272081803,5.224819668
AFFX-BioC-5_at,7.895183671,7.590441272,8.414614392,7.849252062,8.188249879,7.804884301
Dr.18269.1.A1_at,7.447551978,7.851189617,7.551213309,8.195089862,7.969969813,8.424031286
Dr.17393.1.A1_at,8.660419687,7.716579897,8.013932416,7.519078464,7.930231736,6.906668432
Dr.22620.1.S1_at,5.98923674,5.305862589,5.601560654,5.35268306,6.021325798,5.41754502
Dr.15872.1.A1_at,7.272800905,7.601155014,7.387552373,7.966416456,6.898409008,7.732310389
Dr.14651.1.A1_at,9.668614796,9.327502089,9.385767327,9.046729081,9.252060011,8.935486634
Dr.3076.2.S1_at,5.001609381,5.694954547,5.304515012,5.686201431,4.615841309,5.21952206
Dr.20020.1.S1_at,4.79368836,5.331766233,4.69919213,5.157108155,5.220058486,5.907963125
Dr.782.1.S1_at,11.46089906,11.83111271,11.72687631,12.11797464,11.38750285,12.17024695
Dr.22788.1.A1_at,7.391139252,7.887340475,8.006598696,8.367115747,7.574298652,8.110404932
Dr.17044.1.A1_at,5.794878665,3.607604123,6.051826387,4.169641074,5.7443722,5.020191376
Dr.4823.1.S1_at,11.69271204,12.09264197,11.69637227,12.24261486,12.17430919,12.51960448
Dr.16728.1.A1_at,5.665289788,6.60783109,6.601175881,7.684668075,6.270624473,6.893992294
Dr.24242.2.S1_at,6.983380506,7.2543333,7.174688673,7.52218038,7.219978963,7.406867057
Dr.24241.2.A1_at,11.52037514,11.71320667,11.58762425,11.73166204,11.38267527,11.63891035
Dr.10492.2.A1_at,3.638392799,4.519900027,3.706063285,5.067945277,4.580236803,5.199378781
AFFX-BioC-3_at,8.274640764,7.980239648,8.815672871,8.355792209,8.566314705,8.128439279
Dr.9753.2.A1_at,5.634224386,4.760640957,6.248801552,5.243744836,6.397107381,4.363560357
Dr.4095.1.A1_at,10.84191249,11.16367469,10.85557872,11.23552062,11.01872145,11.15636534
Dr.20398.1.A1_x_at,7.77497445,7.343141645,8.230815991,7.850802994,8.24924995,7.790231853
Dr.14862.2.A1_at,6.098176348,6.363802492,5.874164354,6.378730379,5.985313495,6.210521803
Dr.5348.1.S1_at,8.639962461,9.191022945,9.281325472,10.30809857,9.049969338,9.878132024
Dr.17144.1.A1_at,6.078988701,6.718759655,5.844633974,6.63544782,6.773821217,7.435220974
Dr.13682.1.S1_at,7.515587955,7.208753289,7.263248549,6.945424483,7.421661227,7.232182815
